Rank,Team,Conference,Season,Games,Win,Loss,TotalAssist,AssistPerGame,Total Turnovers,AssistTurnoverRatio,TotalBenchPts,BenchPtAverage,Total Blocks,BlocksPerGame,FieldGoalsMade,FieldGoalAttempted,FieldGoalPercentage,Opponent FGM,Opponent FGA,Opponent FG %,Team Fouls Total,PFPG,DQ,Free Throws Made,Free Throw Attempts,Free Throw Attempt Avg Per Game,Free Throw Percentage Season,Free Throws Made Per Game Avg
73,A&M-Corpus Christi ,Southland ,2023-2024,32,23,9,473,14.8,523,0.90,745,23.3,112,3.5,753,"1,887",39.9,671,"1,881",35.7,514,16.1,4,477,690,21.56,69.1,14.91
104,Abilene Christian ,WAC ,2023-2024,30,14,16,427,14.2,482,0.89,563,18.8,54,1.8,739,"1,799",41.1,727,"1,726",42.1,491,16.4,10,362,504,16.80,71.8,12.07
208,Air Force ,Mountain West ,2023-2024,32,15,17,396,12.4,473,0.84,554,17.3,71,2.2,750,"1,963",38.2,756,"1,711",44.2,604,18.9,11,320,425,13.28,75.3,10.00
218,Akron ,MAC ,2023-2024,29,11,18,355,12.2,472,0.75,492,17,75,2.6,656,"1,693",38.7,715,"1,686",42.4,454,15.7,11,323,449,15.48,71.9,11.14
173,Alabama ,SEC ,2023-2024,34,24,10,441,13,512,0.86,480,14.1,153,4.5,892,"2,054",43.4,792,"2,024",39.1,535,15.7,17,454,638,18.76,71.2,13.35
279,Alabama A&M ,SWAC ,2023-2024,31,15,16,346,11.2,542,0.64,512,16.5,92,3,703,"1,835",38.3,682,"1,726",39.5,510,16.5,9,385,559,18.03,68.9,12.42
327,Alabama St. ,SWAC ,2023-2024,29,3,26,290,10,665,0.44,586,20.2,114,3.9,517,"1,551",33.3,748,"1,760",42.5,604,20.8,11,281,438,15.10,64.2,9.69
259,Alcorn ,SWAC ,2023-2024,32,12,20,369,11.5,569,0.65,421,13.2,102,3.2,623,"1,711",36.4,666,"1,787",37.3,621,19.4,12,378,589,18.41,64.2,11.81
107,American ,Patriot ,2023-2024,30,10,20,426,14.2,496,0.86,497,16.6,47,1.6,686,"1,713",40,719,"1,686",42.6,538,17.9,13,325,473,15.77,68.7,10.83
183,App State ,Sun Belt ,2023-2024,32,17,15,410,12.8,564,0.73,638,19.9,95,3,795,"2,052",38.7,865,"2,041",42.4,598,18.7,20,483,705,22.03,68.5,15.09
90,Arizona ,Pac-12 ,2023-2024,34,18,16,493,14.5,510,0.97,578,17,132,3.9,893,"2,023",44.1,810,"1,908",42.5,641,18.9,21,442,591,17.38,74.8,13.00
336,Arizona St. ,Pac-12 ,2023-2024,31,11,20,301,9.7,383,0.79,369,11.9,73,2.4,699,"1,851",37.8,796,"1,858",42.8,567,18.3,11,367,538,17.35,68.2,11.84
51,Ark.-Pine Bluff ,SWAC ,2023-2024,33,17,16,511,15.5,541,0.94,655,19.8,144,4.4,870,"2,096",41.5,766,"2,013",38.1,694,21,10,475,746,22.61,63.7,14.39
294,Arkansas ,SEC ,2023-2024,33,18,15,356,10.8,418,0.85,251,7.6,172,5.2,779,"2,081",37.4,858,"2,146",40,474,14.4,5,446,619,18.76,72.1,13.52
277,Arkansas St. ,Sun Belt ,2023-2024,30,13,17,336,11.2,410,0.82,351,11.7,67,2.2,694,"1,730",40.1,715,"1,764",40.5,459,15.3,4,403,534,17.80,75.5,13.43
291,Army West Point ,Patriot ,2023-2024,29,12,17,316,10.9,418,0.76,507,17.5,66,2.3,626,"1,710",36.6,678,"1,531",44.3,498,17.2,13,311,428,14.76,72.7,10.72
184,Auburn ,SEC ,2023-2024,32,20,12,408,12.8,497,0.82,692,21.6,128,4,789,"1,950",40.5,652,"1,717",38,593,18.5,3,426,605,18.91,70.4,13.31
243,Austin Peay ,ASUN ,2023-2024,33,17,16,387,11.7,562,0.69,598,18.1,133,4,754,"1,706",44.2,701,"1,811",38.7,600,18.2,8,404,585,17.73,69.1,12.24
50,Ball St. ,MAC ,2023-2024,34,28,6,529,15.6,486,1.09,771,22.7,113,3.3,884,"1,992",44.4,773,"1,870",41.3,541,15.9,3,430,606,17.82,71,12.65
16,Baylor ,Big 12 ,2023-2024,34,26,8,616,18.1,534,1.15,805,23.7,87,2.6,957,"2,158",44.3,775,"1,956",39.6,577,17,4,371,531,15.62,69.9,10.91
45,Belmont ,MVC ,2023-2024,35,26,9,553,15.8,507,1.09,480,13.7,133,3.8,878,"1,981",44.3,817,"2,074",39.4,554,15.8,9,435,613,17.51,71,12.43
136,Bethune-Cookman ,SWAC ,2023-2024,31,15,16,417,13.5,501,0.83,664,21.4,75,2.4,735,"1,919",38.3,670,"1,786",37.5,543,17.5,15,475,723,23.32,65.7,15.32
140,Binghamton ,America East ,2023-2024,31,14,17,416,13.4,435,0.96,473,15.3,98,3.2,725,"1,716",42.2,696,"1,722",40.4,522,16.8,8,267,368,11.87,72.6,8.61
85,Boise St. ,Mountain West ,2023-2024,35,21,14,511,14.6,528,0.97,766,21.9,216,6.2,812,"2,036",39.9,768,"2,081",36.9,528,15.1,5,386,573,16.37,67.4,11.03
70,Boston College ,ACC ,2023-2024,33,14,19,491,14.9,517,0.95,509,15.4,87,2.6,892,"2,108",42.3,855,"1,900",45,603,18.3,12,407,597,18.09,68.2,12.33
93,Boston U. ,Patriot ,2023-2024,32,20,12,463,14.5,511,0.91,472,14.8,158,4.9,735,"1,668",44.1,731,"1,927",37.9,452,14.1,10,338,483,15.09,70,10.56
97,Bowling Green ,MAC ,2023-2024,31,16,15,444,14.3,471,0.94,344,11.1,86,2.8,759,"1,742",43.6,794,"1,841",43.1,525,16.9,14,356,506,16.32,70.4,11.48
215,Bradley ,MVC ,2023-2024,32,6,26,393,12.3,520,0.76,585,18.3,60,1.9,707,"1,774",39.9,906,"2,011",45.1,511,16,5,326,454,14.19,71.8,10.19
251,Brown ,Ivy League ,2023-2024,27,16,11,314,11.6,414,0.76,265,9.8,101,3.7,621,"1,585",39.2,634,"1,610",39.4,428,15.9,10,269,396,14.67,67.9,9.96
147,Bryant ,America East ,2023-2024,30,15,15,400,13.3,480,0.83,319,10.6,82,2.7,670,"1,643",40.8,687,"1,724",39.8,448,14.9,7,293,477,15.90,61.4,9.77
285,Bucknell ,Patriot ,2023-2024,31,13,18,342,11,473,0.72,300,9.7,113,3.6,622,"1,596",39,724,"1,827",39.6,438,14.1,6,367,497,16.03,73.8,11.84
157,Buffalo ,MAC ,2023-2024,33,19,14,436,13.2,458,0.95,355,10.8,67,2,788,"1,904",41.4,760,"1,965",38.7,606,18.4,12,412,558,16.91,73.8,12.48
