Rank,Team,Conference,Season,Games,Wins,Losses,Rebounds,Rebounds Per Game,Opponets Rebounds,Opponets Rebounds Per Game,MarginofRebounds,Defensive Rebounds,Defensive Rebounds Per Game,Offensive Rebounds,Offensive Rebounds Per Game,Total Rebounds,Rebounds Per Game,Opponent Points,Opponent PPG,Points,Points Per Game,Opponent Points,Opponent Points Per Game,Scoring Margin
108,A&M-Corpus Christi ,Southland ,2023-2024,32,23,9,"1,289",40.3,"1,200",37.5,2.8,884,27.6,405,12.7,"1,289",40.28,"1,854",57.9,"2,139",66.8,"1,854",57.9,8.9
62,Abilene Christian ,WAC ,2023-2024,30,14,16,"1,141",38,"1,005",33.5,4.5,749,25,392,13.1,"1,141",38.03,"1,984",66.1,"2,098",69.9,"1,984",66.1,3.8
325,Air Force ,Mountain West ,2023-2024,32,15,17,"1,031",32.2,"1,236",38.6,-6.4,663,20.7,368,11.5,"1,031",32.22,"2,121",66.3,"2,025",63.3,"2,121",66.3,-3
180,Akron ,MAC ,2023-2024,29,11,18,"1,064",36.7,"1,052",36.3,0.4,713,24.6,351,12.1,"1,064",36.69,"1,917",66.1,"1,807",62.3,"1,917",66.1,-3.8
107,Alabama ,SEC ,2023-2024,34,24,10,"1,322",38.9,"1,225",36,2.9,871,25.6,451,13.3,"1,322",38.88,"2,115",62.2,"2,487",73.1,"2,115",62.2,10.9
112,Alabama A&M ,SWAC ,2023-2024,31,15,16,"1,196",38.6,"1,115",36,2.6,767,24.7,429,13.8,"1,196",38.58,"1,918",61.9,"1,914",61.7,"1,918",61.9,-0.1
341,Alabama St. ,SWAC ,2023-2024,29,3,26,963,33.2,"1,211",41.8,-8.6,652,22.5,311,10.7,963,33.21,"2,126",73.3,"1,431",49.3,"2,126",73.4,-24
227,Alcorn ,SWAC ,2023-2024,32,12,20,"1,125",35.2,"1,170",36.6,-1.4,804,25.1,321,10,"1,125",35.16,"2,015",63,"1,731",54.1,"2,015",63,-8.9
264,American ,Patriot ,2023-2024,30,10,20,"1,008",33.6,"1,090",36.3,-2.7,704,23.5,304,10.1,"1,008",33.60,"1,980",66,"1,823",60.8,"1,980",66,-5.2
242,App State ,Sun Belt ,2023-2024,32,17,15,"1,251",39.1,"1,314",41.1,-2,811,25.3,440,13.8,"1,251",39.09,"2,350",73.4,"2,310",72.2,"2,350",73.4,-1.3
282,Arizona ,Pac-12 ,2023-2024,34,18,16,"1,097",32.3,"1,217",35.8,-3.5,740,21.8,357,10.5,"1,097",32.26,"2,237",65.8,"2,376",69.9,"2,237",65.8,4.1
338,Arizona St. ,Pac-12 ,2023-2024,31,11,20,"1,043",33.6,"1,300",41.9,-8.3,699,22.5,344,11.1,"1,043",33.65,"2,173",70.1,"1,905",61.5,"2,173",70.1,-8.6
144,Ark.-Pine Bluff ,SWAC ,2023-2024,33,17,16,"1,338",40.5,"1,285",38.9,1.6,892,27,446,13.5,"1,338",40.55,"2,237",67.8,"2,409",73,"2,237",67.8,5.2
324,Arkansas ,SEC ,2023-2024,33,18,15,"1,244",37.7,"1,439",43.6,-5.9,922,27.9,322,9.8,"1,244",37.70,"2,271",68.8,"2,292",69.5,"2,271",68.8,0.6
182,Arkansas St. ,Sun Belt ,2023-2024,30,13,17,"1,091",36.4,"1,082",36.1,0.3,757,25.2,334,11.1,"1,091",36.37,"1,916",63.9,"1,990",66.3,"1,916",63.9,2.5
174,Army West Point ,Patriot ,2023-2024,29,12,17,975,33.6,958,33,0.6,622,21.4,353,12.2,975,33.62,"1,806",62.3,"1,717",59.2,"1,806",62.3,-3.1
170,Auburn ,SEC ,2023-2024,32,20,12,"1,187",37.1,"1,165",36.4,0.7,786,24.6,401,12.5,"1,187",37.09,"1,882",58.8,"2,124",66.4,"1,882",58.8,7.6
130,Austin Peay ,ASUN ,2023-2024,33,17,16,"1,130",34.2,"1,062",32.2,2.1,837,25.4,293,8.9,"1,130",34.24,"1,986",60.2,"2,053",62.3,"1,986",60.2,2
221,Ball St. ,MAC ,2023-2024,34,28,6,"1,140",33.5,"1,183",34.8,-1.3,828,24.4,312,9.2,"1,140",33.53,"2,072",60.9,"2,472",72.7,"2,072",60.9,11.8
22,Baylor ,Big 12 ,2023-2024,34,26,8,"1,369",40.3,"1,121",33,7.3,933,27.4,436,12.8,"1,369",40.26,"2,055",60.4,"2,544",74.8,"2,055",60.4,14.4
178,Belmont ,MVC ,2023-2024,35,26,9,"1,260",36,"1,243",35.5,0.5,924,26.4,336,9.6,"1,260",36.00,"2,181",62.3,"2,470",70.6,"2,181",62.3,8.3
179,Bethune-Cookman ,SWAC ,2023-2024,31,15,16,"1,211",39.1,"1,196",38.6,0.5,765,24.7,446,14.4,"1,211",39.06,"1,886",60.8,"2,058",66.4,"1,886",60.8,5.5
285,Binghamton ,America East ,2023-2024,31,14,17,"1,004",32.4,"1,114",35.9,-3.5,735,23.7,269,8.7,"1,004",32.39,"1,869",60.3,"1,920",61.9,"1,869",60.3,1.6
44,Boise St. ,Mountain West ,2023-2024,35,21,14,"1,416",40.5,"1,225",35,5.5,"1,002",28.6,414,11.8,"1,416",40.46,"2,063",58.9,"2,241",64,"2,063",58.9,5.1
252,Boston College ,ACC ,2023-2024,33,14,19,"1,156",35,"1,234",37.4,-2.4,700,21.2,456,13.8,"1,156",35.03,"2,299",69.7,"2,342",71,"2,299",69.7,1.3
233,Boston U. ,Patriot ,2023-2024,32,20,12,"1,051",32.8,"1,101",34.4,-1.6,798,24.9,253,7.9,"1,051",32.84,"1,971",61.6,"2,004",62.6,"1,971",61.6,1
184,Bowling Green ,MAC ,2023-2024,31,16,15,"1,081",34.9,"1,072",34.6,0.3,759,24.5,322,10.4,"1,081",34.87,"2,169",70,"2,088",67.4,"2,169",70,-2.6
339,Bradley ,MVC ,2023-2024,32,6,26,999,31.2,"1,266",39.6,-8.3,759,23.7,240,7.5,999,31.22,"2,408",75.3,"1,925",60.2,"2,408",75.3,-15.1
310,Brown ,Ivy League ,2023-2024,27,16,11,932,34.5,"1,068",39.6,-5,638,23.6,294,10.9,932,34.52,"1,668",61.8,"1,704",63.1,"1,668",61.8,1.3
166,Bryant ,America East ,2023-2024,30,15,15,"1,088",36.3,"1,061",35.4,0.9,769,25.6,319,10.6,"1,088",36.27,"1,830",61,"1,817",60.6,"1,830",61,-0.4
286,Bucknell ,Patriot ,2023-2024,31,13,18,"1,006",32.5,"1,118",36.1,-3.6,776,25,230,7.4,"1,006",32.45,"1,898",61.2,"1,734",55.9,"1,898",61.2,-5.3
259,Buffalo ,MAC ,2023-2024,33,19,14,"1,192",36.1,"1,274",38.6,-2.5,869,26.3,323,9.8,"1,192",36.12,"2,098",63.6,"2,175",65.9,"2,098",63.6,2.3
187,Butler ,Big East ,2023-2024,32,15,17,"1,049",32.8,"1,044",32.6,0.2,751,23.5,298,9.3,"1,049",32.78,"1,985",62,"2,001",62.5,"1,985",62,0.5
43,BYU ,Big 12 ,2023-2024,33,16,17,"1,294",39.2,"1,110",33.6,5.6,938,28.4,356,10.8,"1,294",39.21,"2,169",65.7,"2,158",65.4,"2,169",65.7,-0.3
101,Cal Poly ,Big West ,2023-2024,31,17,14,"1,095",35.3,996,32.1,3.2,747,24.1,348,11.2,"1,095",35.32,"1,884",60.8,"1,878",60.6,"1,884",60.8,-0.2
253,Cal St. Fullerton ,Big West ,2023-2024,31,10,21,"1,042",33.6,"1,116",36,-2.4,726,23.4,316,10.2,"1,042",33.61,"2,027",65.4,"1,828",59,"2,027",65.4,-6.4
