Rank,Team,Conference,Season,Games,Wins,Losses,Steals,Steals Per Game,3pt FG Made,3pt FG Attempt,3pt FG Avg Per Game,3pt FG Per Game,3pt FG Avg Season,Opp 3Pt FGA,Opp 3Pt FG Made,Opp 3pt FG Percent,Turnovers,Opponents Turnovers,TO to Opp TO Margin,Forced TO Per Game,Turnovers Per Game,Win Percent
14,A&M-Corpus Christi ,Southland ,2023-2024,32,23,9,354,11.1,156,600,18.8,4.9,26,638,163,25.5,523,586,1.97,18.31,16.3,71.9
165,Abilene Christian ,WAC ,2023-2024,30,14,16,230,7.7,258,847,28.2,8.6,30.5,653,200,30.6,482,479,-0.10,15.97,16.1,46.7
19,Air Force ,Mountain West ,2023-2024,32,15,17,347,10.8,205,660,20.6,6.4,31.1,438,137,31.3,473,614,4.41,19.19,14.8,46.9
308,Akron ,MAC ,2023-2024,29,11,18,175,6,172,590,20.3,5.9,29.2,557,173,31.1,472,434,-1.31,14.97,16.3,37.9
109,Alabama ,SEC ,2023-2024,34,24,10,286,8.4,249,711,20.9,7.3,35,541,158,29.2,512,580,2.00,17.06,15.1,70.6
132,Alabama A&M ,SWAC ,2023-2024,31,15,16,249,8,123,439,14.2,4,28,441,144,32.7,542,538,-0.13,17.35,17.5,48.4
234,Alabama St. ,SWAC ,2023-2024,29,3,26,201,6.9,116,473,16.3,4,24.5,453,138,30.5,665,437,-7.86,15.07,22.9,10.3
174,Alcorn ,SWAC ,2023-2024,32,12,20,243,7.6,107,436,13.6,3.3,24.5,597,176,29.5,569,465,-3.25,14.53,17.8,37.5
118,American ,Patriot ,2023-2024,30,10,20,248,8.3,126,488,16.3,4.2,25.8,521,158,30.3,496,498,0.07,16.60,16.5,33.3
74,App State ,Sun Belt ,2023-2024,32,17,15,291,9.1,237,769,24,7.4,30.8,551,184,33.4,564,573,0.28,17.91,17.6,53.1
6,Arizona ,Pac-12 ,2023-2024,34,18,16,398,11.7,148,470,13.8,4.4,31.5,652,206,31.6,510,669,4.68,19.68,15,52.9
202,Arizona St. ,Pac-12 ,2023-2024,31,11,20,223,7.2,140,434,14,4.5,32.3,604,195,32.3,383,464,2.61,14.97,12.4,35.5
43,Ark.-Pine Bluff ,SWAC ,2023-2024,33,17,16,330,10,194,646,19.6,5.9,30,594,173,29.1,541,614,2.21,18.61,16.4,51.5
299,Arkansas ,SEC ,2023-2024,33,18,15,204,6.2,288,969,29.4,8.7,29.7,656,211,32.2,418,485,2.03,14.70,12.7,54.5
176,Arkansas St. ,Sun Belt ,2023-2024,30,13,17,226,7.5,199,648,21.6,6.6,30.7,633,191,30.2,410,451,1.37,15.03,13.7,43.3
85,Army West Point ,Patriot ,2023-2024,29,12,17,255,8.8,154,536,18.5,5.3,28.7,433,135,31.2,418,466,1.66,16.07,14.4,41.4
